transaction_id,transaction_amount,policy_code,other_feature,is_fraud
txn_00001,109.93,1,2.211,0
txn_00002,97.23,1,3.205,0
txn_00003,112.95,1,5.399,0
txn_00004,130.46,1,0.041,0
txn_00005,95.32,2,0.334,0
txn_00006,95.32,2,4.346,0
txn_00007,131.58,1,1.227,0
txn_00008,115.35,3,1.663,0
txn_00009,90.61,1,2.176,0
txn_00010,110.85,1,2.273,0
txn_00011,90.73,1,5.369,0
txn_00012,90.69,1,11.585,0
txn_00013,104.84,1,2.547,0
txn_00014,61.73,1,0.677,0
txn_00015,65.5,1,4.236,0
txn_00016,88.75,1,0.101,0
txn_00017,79.74,1,0.526,0
txn_00018,106.28,1,4.554,0
txn_00019,81.84,1,0.592,0
txn_00020,71.75,1,0.499,0
txn_00021,129.31,2,0.297,0
txn_00022,95.48,2,3.92,0
txn_00023,101.35,1,1.387,0
txn_00024,71.51,2,2.247,0
txn_00025,89.11,1,0.546,0
txn_00026,102.22,1,2.838,0
txn_00027,76.98,1,2.854,0
txn_00028,107.51,1,0.75,0
txn_00029,87.99,3,1.058,0
txn_00030,94.17,1,0.471,0
txn_00031,87.97,1,7.507,0
txn_00032,137.05,1,2.075,0
txn_00033,99.73,1,5.453,0
txn_00034,78.85,2,0.723,0
txn_00035,116.45,1,3.046,0
txn_00036,75.58,1,2.904,0
txn_00037,104.18,1,2.353,0
txn_00038,60.81,1,6.742,0
txn_00039,73.44,1,1.0,0
txn_00040,103.94,1,0.28,0
txn_00041,114.77,1,2.228,0
txn_00042,103.43,1,2.614,0
txn_00043,97.69,2,1.712,0
txn_00044,93.98,2,0.463,0
txn_00045,70.43,1,1.404,0
txn_00046,85.6,1,0.748,0
txn_00047,90.79,1,1.115,0
txn_00048,121.14,1,2.073,0
txn_00049,106.87,1,2.735,0
txn_00050,64.74,1,0.529,0
txn_00051,106.48,1,1.039,0
txn_00052,92.3,1,0.627,0
txn_00053,86.46,1,0.443,0
txn_00054,112.23,1,3.059,0
txn_00055,120.62,1,4.799,0
txn_00056,118.63,1,0.925,0
txn_00057,83.22,1,2.783,0
txn_00058,93.82,1,4.546,0
txn_00059,106.63,1,3.743,0
txn_00060,119.51,1,0.404,0
txn_00061,90.42,1,6.26,0
txn_00062,96.29,1,0.945,0
txn_00063,77.87,2,0.829,0
txn_00064,76.08,1,0.129,0
txn_00065,116.25,1,1.332,0
txn_00066,127.12,1,0.231,0
txn_00067,98.56,1,0.571,0
txn_00068,120.07,1,0.762,0
txn_00069,107.23,1,3.309,0
txn_00070,87.1,1,4.167,0
txn_00071,107.23,2,0.72,0
txn_00072,130.76,1,3.914,0
txn_00073,99.28,1,3.893,0
txn_00074,131.29,2,2.893,0
txn_00075,47.61,1,0.317,0
txn_00076,116.44,2,2.344,0
txn_00077,101.74,1,5.802,0
